GRAS Substance,SCOGS Report Number,CAS Reg. No. or other ID Code,Year of Report,SCOGS Type of Conclusion,21 CFR Regulation,21 CFR Regulation 2,NTIS Accession Number
" Peanut oil (packaging)",=T("65")," 8002-03-7",=T("1975"),=T("1"),,," PB274475"
" Fish oil, hydrogenated (packaging)",=T("66")," 8016-13-5",=T("1975"),=T("1"),=T("186.1551"),," PB262667"
" Manganous chloride",=T("67")," 7773-01-5",=T("1979"),=T("5"),,," PB301404"
" Manganous citrate",=T("67")," 10024-66-5",=T("1979"),=T("5"),=T("184.1449"),," PB301404"
" Manganous gluconate",=T("67")," 6485-39-8",=T("1979"),=T("5"),,," PB301404"
" Manganous oxide",=T("67")," 1317-35-7",=T("1979"),=T("5"),,," PB301404"
" Manganous sulfate",=T("67")," 7785-87-7",=T("1979"),=T("5"),,," PB301404"
" Tall oil (packaging)",=T("68")," 8002-26-4",=T("1975"),=T("1"),=T("186.1557"),," PB262666"
" Sucrose",=T("69")," 57-50-1",=T("1976"),=T("2"),=T("184.1854"),," PB262668"
" Hydrogenated soybean oil",=T("70")," 8016-70-4",=T("1976"),=T("1"),,," PB266280"
" Ethyl formate",=T("71")," 109-94-4",=T("1976"),=T("1"),=T("184.1295"),," PB266282"
" Formic acid (packaging)",=T("71")," 64-18-6",=T("1976"),=T("1"),=T("186.1316"),," PB266282"
" Sodium formate (packaging)",=T("71")," 141-53-7",=T("1976"),=T("1"),=T("186.1756"),," PB266282"
" Calcium hydroxide",=T("72")," 1305-62-0",=T("1975"),=T("1"),=T("184.1205"),," PB254540"
" Calcium oxide",=T("72")," 1305-78-8",=T("1975"),=T("1"),=T("184.1210"),," PB254540"
" Calcium hypophosphite",=T("73")," 7789-79-9",=T("1977"),=T("1"),,," PB274476"
" Manganous hypophosphite",=T("73")," 10043-84-2",=T("1977"),=T("1"),=T("184.1434"),," PB274476"
" Potassium hypophosphite",=T("73")," 7782-87-8",=T("1977"),=T("1"),,," PB274476"
" Sodium hypophosphite",=T("73")," 7681-53-0",=T("1977"),=T("1"),=T("184.1764"),," PB274476"
" Calcium glycerophosphate",=T("74")," 27214-00-2",=T("1976"),=T("1"),=T("184.1201"),," PB265506"
" Calcium glycerophosphate (packaging)",=T("74")," 27214-00-2",=T("1976"),=T("1"),=T("181.29"),," PB265506"
" Magnesium glycerophosphate (packaging)",=T("74")," 927-20-8",=T("1976"),=T("1"),=T("181.29"),," PB265506"
" Manganese glycerophosphate",=T("74")," 1320-46-3",=T("1976"),=T("1"),,," PB265506"
" Potassium glycerophosphate",=T("74")," 1319-70-6",=T("1976"),=T("1"),,," PB265506"
" Dextrins",=T("75")," 9004-53-9",=T("1975"),=T("1"),=T("184.1277"),," PB254538"
" Corn dextrins (packaging)",=T("75")," 9004-53-9",=T("1975"),=T("1"),,," PB254538"
" Rennet",=T("76")," 9042-08-4",=T("1977"),=T("1"),=T("184.1685"),," PB274668"
" Papain",=T("77")," 9001-73-4",=T("1977"),=T("1"),=T("184.1585"),," PB274174"
" Magnesium gluconate",=T("78")," 3632-91-5",=T("1978"),=T("1"),,," PB288675"
" Potassium gluconate",=T("78")," 299-27-4",=T("1978"),=T("1"),,," PB288675"
" Sodium gluconate",=T("78")," 527-07-1",=T("1978"),=T("1"),=T("182.6757"),," PB288675"
" Zinc gluconate",=T("78")," 4468-02-4",=T("1978"),=T("1"),=T("182.8988"),," PB288675"
" Calcium propionate",=T("79")," 4075-81-4",=T("1979"),=T("1"),=T("184.1221"),," PB80104599"
" Dilauryl thiodipropionate",=T("79")," 123-28-4",=T("1979"),=T("2"),=T("182.3280"),," PB80104599"
" Propionic acid",=T("79")," 79-09-4",=T("1979"),=T("1"),=T("184.1081"),," PB80104599"
" Sodium propionate",=T("79")," 137-40-6",=T("1979"),=T("1"),=T("184.1784"),," PB80104599"
" Thiodipropionic acid",=T("79")," 111-17-1",=T("1979"),=T("2"),=T("182.3109"),," PB80104599"
" Adipic acid",=T("80")," 124-04-9",=T("1976"),=T("1"),=T("184.1009"),," PB266279"
" Pectin, amidated",=T("81")," 56645-02-4",=T("1977"),=T("1"),=T("184.1588"),," PB274477"
" Pectin, high ester",=T("81")," 9000-69-5",=T("1977"),=T("1"),=T("184.1588"),," PB274477"
" Pectin, low acid",=T("81")," There is no ID Code",=T("1977"),=T("1"),=T("184.1588"),," PB274477"
" Pectinates",=T("81")," 9005-59-8",=T("1977"),=T("1"),=T("184.1588"),," PB274477"
" Pectinic acid",=T("81")," 9046-40-6",=T("1977"),=T("1"),=T("184.1588"),," PB274477"
" Acetic acid",=T("82")," 64-19-7",=T("1977"),=T("1"),=T("184.1005"),," PB274670"
" Sodium acetate",=T("82")," 977127-84-6",=T("1977"),=T("1"),=T("184.1721"),," PB274670"
" Sodium diacetate",=T("82")," 126-96-5",=T("1977"),=T("1"),=T("184.1754"),," PB274670"
" Dextran",=T("83")," 9004-54-0",=T("1975"),=T("2"),=T("186.1275"),," PB254537"
" Ammonium citrate",=T("84")," 7632-50-0",=T("1977"),=T("1"),=T("184.1140"),," PB280954"
" Calcium citrate",=T("84")," 813-94-5",=T("1977"),=T("1"),=T("184.1195"),," PB280954"
" Citric acid",=T("84")," 77-92-9",=T("1977"),=T("1"),=T("184.1033"),," PB280954"
" Isopropyl citrate",=T("84")," 39413-05-3",=T("1977"),=T("1"),=T("184.1386"),," PB280954"
" Potassium citrate",=T("84")," 6100-05-6",=T("1977"),=T("1"),=T("184.1625"),," PB280954"
" Sodium citrate",=T("84")," 68-04-2",=T("1977"),=T("1"),=T("184.1751"),," PB280954"
" Stearyl citrate",=T("84")," 1337-33-3",=T("1977"),=T("1"),=T("184.1851"),," PB280954"
" Triethyl citrate",=T("84")," 77-93-0",=T("1977"),=T("1"),=T("184.1911"),," PB280954"
" Potassium hydroxide",=T("85")," 1310-58-3",=T("1976"),=T("1"),=T("184.1631"),," PB265507"
" Sodium hydroxide",=T("85")," 1310-73-2",=T("1976"),=T("1"),=T("184.1763"),," PB265507"
" Sodium oleate (packaging)",=T("86")," 143-19-1",=T("1977"),=T("1"),=T("186.1770"),," PB276414"
" Sodium palmitate (packaging)",=T("86")," 408-35-5",=T("1977"),=T("1"),=T("186.1771"),," PB276414"
" Corn silk",=T("87")," 977000-79-5",=T("1977"),=T("5"),=T("184.1262"),," PB278158"
" Ethyl acrylate, monomeric (packaging)",=T("88")," 140-88-5",=T("1977"),=T("1"),,," PB276415"
" Ethyl acrylate, polymeric (packaging)",=T("88")," 9003-32-1",=T("1977"),=T("1"),,," PB276415"
" Methyl acrylate, monomeric (packaging)",=T("88")," 96-33-3",=T("1977"),=T("1"),,," PB276415"
" Methyl acrylate, polymeric (packaging)",=T("88")," 9003-21-8",=T("1977"),=T("1"),=T("181.30"),," PB276415"
" Caffeine",=T("89")," 58-08-2",=T("1978")," 3,4",=T("182.1180"),," PB283441"
" Bentonite",=T("90")," 1302-78-9",=T("1977"),=T("1"),=T("184.1155"),," PB276416"
" Clay (kaolin) (packaging)",=T("90")," 1332-58-7",=T("1977"),=T("1"),=T("186.1256"),," PB276416"
" Lard (packaging)",=T("91")," 61789-99-9",=T("1976"),=T("1"),=T("182.70"),," PB270368"
" Lard oil (packaging)",=T("91")," 8016-28-2",=T("1976"),=T("1"),=T("182.70"),," PB270368"
" Biotin",=T("92")," 58-85-5",=T("1978"),=T("1"),=T("182.8159"),," PB281421"
" D- or DL- Calcium pantothenate",=T("93")," 137-08-6",=T("1978"),=T("1"),=T("184.1212"),," PB288672"
" D-Pantothenyl alcohol",=T("93")," 81-13-0",=T("1978"),=T("1"),=T("582.5580"),," PB288672"
" D- or DL- Sodium pantothenate",=T("93")," 867-81-2",=T("1978"),=T("1"),,," PB288672"
" Diacetyl",=T("94")," 431-03-8",=T("1980"),=T("1"),=T("184.1278"),," PB80178668"
" Starter distillate",=T("94")," 977019-27-4",=T("1980"),=T("1"),=T("184.1848"),," PB80178668"
" Vitamin D2 (ergocalciferol)",=T("95")," 50-14-6",=T("1978"),=T("2"),=T("184.1950"),," PB293099"
" Vitamin D3 (cholecalciferol)",=T("95")," 67-97-0",=T("1978"),=T("2"),=T("184.1950"),," PB293099"
" Calcium caseinate",=T("96")," 9005-43-0",=T("1979"),=T("1"),,," PB301401"
" Casein",=T("96")," 9000-71-9",=T("1979"),=T("1"),,," PB301401"
" Sodium caseinate",=T("96")," 9005-46-3",=T("1979"),=T("1"),,," PB301401"
" Nickel (elemental)",=T("97")," 7440-02-0",=T("1979"),=T("1"),=T("184.1537"),," PB80104623"
" Copper (cupric) gluconate",=T("98")," 7440-50-8",=T("1979"),=T("1"),=T("184.1260"),," PB301400"
" Copper (cupric) sulfate",=T("98")," 7758-98-7",=T("1979"),=T("1"),=T("184.1261"),," PB301400"
" Cuprous iodide",=T("98")," 7681-65-4",=T("1979"),=T("1"),=T("184.1265"),," PB301400"
" Hydrochloric acid",=T("99")," 7647-01-0",=T("1979"),=T("1"),=T("182.1057"),," PB301399"
" Soy protein isolate",=T("101")," 977076-84-8",=T("1979"),=T("1"),,," PB300717"
" Potassium chloride",=T("102")," 7447-40-7",=T("1979"),=T("1"),=T("184.1622"),," PB298139"
" Sodium chloride",=T("102")," 7647-14-5",=T("1979")," 1 (dry food packaging),  4 (direct additive)",=T("182.70"),," PB298139"
" Urea",=T("103")," 57-13-6",=T("1978"),=T("1"),=T("184.1923"),," PB288673"
" Vitamin B12 (cyanocobalamin)",=T("104")," 68-19-9",=T("1978"),=T("1"),=T("184.1945"),," PB289922"
" Thiamine hydrochloride",=T("109")," 67-03-8",=T("1978"),=T("1"),=T("184.1875"),," PB288674"
" Thiamine mononitrate",=T("109")," 532-43-4",=T("1978"),=T("1"),=T("184.1878"),," PB288674"
" Carotene (beta-carotene)",=T("111")," 7235-40-7",=T("1979"),=T("1"),=T("184.1245"),," PB80119837"
" Helium gas",=T("112")," 7440-59-7",=T("1979"),=T("1"),=T("184.1355"),," PB80112022"
" Hydrogen peroxide",=T("113")," 7722-84-1",=T("1979"),=T("2"),=T("184.1366"),," PB80104607"
" Riboflavin",=T("114")," 83-88-5",=T("1979"),=T("1"),=T("184.1695"),," PB301406"
" Riboflavin-5'-phosphate",=T("114")," 146-17-8",=T("1979"),=T("1"),=T("184.1697"),," PB301406"
" Arrowroot Starch",=T("115")," 977000-09-1",=T("1979"),=T("1"),,," PB80128804"
" Cornstarch",=T("115")," 977050-51-3",=T("1979"),=T("1"),=T("182.70"),=T("182.90")," PB80128804"
" High Amylose Cornstarch",=T("115")," 977050-51-3",=T("1979"),=T("1"),,," PB80128804"
" Milo Starch",=T("115")," 977027-92-1",=T("1979"),=T("1"),,," PB80128804"
" Potato starch",=T("115")," 977000-07-9",=T("1979"),=T("1"),,," PB80128804"
" Pregelatinized starch",=T("115")," 977050-93-3",=T("1979"),=T("1"),=T("182.90"),," PB80128804"
" Rice Starch",=T("115")," 977000-08-0",=T("1979"),=T("1"),,," PB80128804"
" Tapioca Starch",=T("115")," 977002-81-5",=T("1979"),=T("1"),=T("182.70"),," PB80128804"
" Waxy Maize Starch",=T("115")," 977050-52-4",=T("1979"),=T("1"),,," PB80128804"
" Wheat Starch",=T("115")," 977052-26-8",=T("1979"),=T("1"),=T("182.70"),," PB80128804"
" Hydroxypropyl Starch",=T("115")," 9049-76-7",=T("1979"),=T("3"),,," PB80128804"
" Hydroxypropyl Starch, oxidized",=T("115")," 68412-86-2",=T("1979"),=T("3"),,," PB80128804"
" Acetylated Distarch Adipate",=T("115")," 63798-35-6",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Acetylated Distarch Oxypropanol",=T("115")," 977120-10-7",=T("1979"),=T("3"),=T("172.892"),," PB80128804"
" Distarch Oxypropanol",=T("115")," 977043-57-4",=T("1979"),=T("3"),,," PB80128804"
" Acetylated Distarch Glycerol",=T("115")," 53123-84-5",=T("1979"),=T("4"),,," PB80128804"
" Distarch Glycerol",=T("115")," 58944-89-1",=T("1979"),=T("4"),,," PB80128804"
" Hydroxypropyl Distarch Glycerol",=T("115")," 59419-60-2",=T("1979"),=T("4"),,," PB80128804"
" Succinyl Distarch Glycerol",=T("115")," 977043-59-6",=T("1979"),=T("4"),,," PB80128804"
" Sodium Hydroxide Gelatinized Starch",=T("115")," 977102-48-9",=T("1979"),=T("5"),,," PB80128804"
" Acid Modified Starch",=T("115")," 65996-63-6",=T("1979"),=T("1"),=T("172.892"),=T("182.90")," PB80128804"
" Bleached Starch",=T("115")," 977075-42-5",=T("1979"),=T("1"),=T("172.892"),," PB80128804"
" Starch, Sodium Hypochlorite oxidized",=T("115")," 977170-89-0",=T("1979"),=T("3"),=T("172.892"),," PB80128804"
" Starch Acetate",=T("115")," 9045-28-7",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Starch Aluminum Octenyl Succinate",=T("115")," 9087-61-0",=T("1979"),=T("3"),=T("172.892"),," PB80128804"
" Starch Sodium Octenyl Succinate",=T("115")," 66829-29-6",=T("1979"),=T("3"),=T("172.892"),," PB80128804"
" Starch Sodium Succinate",=T("115")," 37231-92-8",=T("1979"),=T("3"),=T("172.892"),," PB80128804"
" Distarch Phosphate",=T("115")," 55963-33-2",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Monostarch Phosphate",=T("115")," 11120-02-8",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Phosphated Distarch Phosphate",=T("115")," 977043-58-5",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Acetylated Distarch Phosphate",=T("115")," 68130-14-3",=T("1979"),=T("2"),=T("172.892"),," PB80128804"
" Hydroxypropyl Distarch Phosphate",=T("115")," 53124-00-8",=T("1979"),=T("3"),,," PB80128804"
" Calcium Lactate",=T("116")," 814-80-2",=T("1978"),=T("1"),=T("184.1207"),," PB283713"
" L(+)-calcium lactate",=T("116")," 28305-25-1",=T("1978"),=T("1"),=T("184.1207"),," PB283713"
" D(-)-Lactic acid",=T("116")," 10326-41-7",=T("1978")," 1, 4",,," PB283713"
" Lactic acid",=T("116")," 598-82-3",=T("1978")," 1, 4",,," PB283713"
" L(+)-lactic acid",=T("116")," 79-33-4",=T("1978"),=T("1"),=T("184.1061"),," PB283713"
" Carbon dioxide",=T("117")," 124-38-9",=T("1979"),=T("1"),=T("184.1240"),," PB80104615"
" Vitamin A",=T("118")," 68-26-8",=T("1980"),=T("2"),=T("184.1930"),," PB80178650"
" Vitamin A acetate",=T("118")," 127-47-9",=T("1980"),=T("2"),=T("184.1930"),," PB80178650"
" Vitamin A palmitate",=T("118")," 79-81-2",=T("1980"),=T("2"),=T("184.1930"),," PB80178650"
" L-Glutamic acid"," 37a"," 56-86-0",=T("1980"),=T("2"),=T("182.1045"),," PB80178635"
" L-Glutamic acid hydrochloride"," 37a"," 138-15-8",=T("1980"),=T("2"),=T("182.1047"),," PB80178635"
" Monoammonium L-glutamate"," 37a"," 7558-63-6",=T("1980"),=T("2"),=T("182.1500"),," PB80178635"
" Monopotassium L-glutamate"," 37a"," 19473-49-5",=T("1980"),=T("2"),=T("182.1516"),," PB80178635"
" Monosodium L-glutamate"," 37a"," 142-47-2",=T("1980"),=T("2"),=T("182.1"),," PB80178635"
" Enzymatically hydrolyzed casein"," 37b"," 9000-71-9",=T("1980"),=T("1"),,," PB80178643"
" Acid hydrolyzed proteins"," 37b"," There is no ID Code",=T("1980"),=T("1"),,," PB80178643"
" Enzymatically hydrolyzed protein"," 37b"," There is no ID Code",=T("1980"),=T("1"),,," PB80178643"
" Soy sauces"," 37b"," 8031-68-3",=T("1980"),=T("1"),,," PB80178643"
" Yeast autolyzates"," 37b"," 977046-75-5",=T("1980"),=T("1"),,," PB80178643"
" Beeswax (yellow or white)"," 46a"," 8006-40-4",=T("1975"),=T("1"),=T("184.1973"),," PB262656"
" Japan wax (packaging)"," 46b"," 8001-39-6",=T("1975"),=T("5"),=T("186.1555"),," PB262657"
" Iron - Report on Clinical Research Protocols to Elucidate The Possible Hazards of Increased Iron Enrichment of Cereal Products"," none assigned by NTIS"," 7439-89-6",=T("1972")," There is no conclusion type.",,,
" Iron - Report on Bioavailability and Utilization of Iron"," PB 224 122/AS"," 7439-89-6",=T("1973")," There is no conclusion type.",,," PB80178676"
" Dietary Iron"," PB-218 836"," 7439-89-6",=T("1972")," There is no conclusion type.",,," PB80178676"
" Benzoic Acid",=T("7")," 65-85-0",=T("1973"),=T("1"),=T("184.1021"),," PB223837"
" Sodium Benzoate",=T("7")," 532-32-1",=T("1973"),=T("1"),=T("184.1733"),," PB223837"
" Ferric oxide",=T("35")," 1309-37-1",=T("1980"),=T("5"),,," PB80178676"
" Ferric sodium pyrophosphate",=T("35")," 10045-87-1",=T("1980"),=T("5"),,," PB80178676"
" Iron peptonate",=T("35")," 977009-72-5",=T("1980"),=T("5"),,," PB80178676"
" Iron polyvinylpyrrolidone",=T("35")," 977125-47-5",=T("1980"),=T("5"),,," PB80178676"
" Sodium ferric EDTA",=T("35")," 15708-41-5",=T("1980"),=T("5"),,," PB80178676"
" Sodium ferricitropyrophosphate",=T("35")," 1332-96-3",=T("1980"),=T("5"),,," PB80178676"
" L(+)-potassium acid tartrate",=T("107")," 868-14-4",=T("1979"),=T("1"),=T("184.1077"),," PB301403"
" L(+)-sodium potassium tartrate",=T("107")," 304-59-6",=T("1979"),=T("1"),=T("184.1804"),," PB301403"
" L(+)-sodium tartrate",=T("107")," 868-18-8",=T("1979"),=T("1"),=T("184.1801"),," PB301403"
" L(+)-tartaric acid",=T("107")," 87-69-4",=T("1979"),=T("1"),=T("184.1099"),," PB301403"
" L-Ascorbic acid",=T("59")," 50-81-7",=T("1979"),=T("1"),=T("182.3013"),=T("182.8013")," PB80128796"
" Ascorbyl palmitate (palmitoyl L-ascorbic)",=T("59")," 137-66-6",=T("1979"),=T("1"),=T("182.3149"),," PB80128796"
" Calcium L-ascorbate",=T("59")," 5743-28-2",=T("1979"),=T("1"),=T("182.3189"),," PB80128796"
" Erythorbic acid (D-isoascorbic acid)",=T("59")," 89-65-6",=T("1979"),=T("1"),=T("182.3041"),," PB80128796"
" Sodium erythorbate (sodium D-isoascorbate)",=T("59")," 6381-77-7",=T("1979"),=T("1"),,," PB80128796"
" Sodium L-ascorbate",=T("59")," 134-03-2",=T("1979"),=T("1"),=T("182.3731"),," PB80128796"
" Lecithin",=T("106")," 8002-43-5",=T("1979"),=T("1"),=T("184.1400"),," PB301405"
" Lecithin, hydrogen peroxide bleached",=T("106")," 92128-87-5",=T("1979"),=T("1"),=T("184.1400"),," PB301405"
" Niacin (nicotinic acid)",=T("108")," 59-67-6",=T("1979"),=T("1"),=T("184.1530"),," PB80112030"
" Niacinamide (nicotinamide)",=T("108")," 98-92-0",=T("1979"),=T("1"),=T("184.1535"),," PB80112030"
" Pyridoxine",=T("100")," 65-23-6",=T("1977"),=T("1"),,," PB275340"
" Pyridoxine hydrochloride",=T("100")," 58-56-0",=T("1977"),=T("1"),=T("184.1676"),," PB275340"
" Ferric chloride (packaging)",=T("35")," 7705-08-0",=T("1980"),=T("1"),=T("184.1297"),," PB80178676"
" Ferric oxide (packaging)",=T("35")," 1309-37-1",=T("1980"),=T("1"),=T("186.1300"),," PB80178676"
" Ferric sulfate (packaging)",=T("35")," 10028-22-5",=T("1980"),=T("1"),,," PB80178676"
" Ferrous sulfate (packaging)",=T("35")," 7720-78-7",=T("1980"),=T("1"),,," PB80178676"
" Iron caprylate (packaging)",=T("35")," 6535-20-2",=T("1980"),=T("1"),=T("181.25"),," PB80178676"
" Iron linoleate (packaging)",=T("35")," 7779-63-7",=T("1980"),=T("1"),=T("181.25"),," PB80178676"
" Iron oxides (packaging)",=T("35")," 1332-37-2",=T("1980"),=T("1"),=T("186.1374"),," PB80178676"
" Iron tallate (packaging)",=T("35")," 61788-81-6",=T("1980"),=T("1"),=T("181.25"),," PB80178676"
" Iron, elemental (packaging)",=T("35")," 7439-89-6",=T("1980"),=T("1"),=T("184.1375"),," PB80178676"
" Mustard and Oil of Mustard (Brown and Yellow)",=T("16")," 57-06-7",=T("1975"),=T("1"),=T("182.10"),," PB254528"
" Allyl isothiocyanate",=T("16")," 57-06-7",=T("1975"),=T("1"),=T("172.515"),," PB254528"
" p-Hydroxybenzyl isothiocyanate",=T("16")," 2086-86-4",=T("1975"),=T("1"),,," PB254528"
